title,RefinableString01,AssuntoNormativoOWSMTXT,ResponsavelOWSText,listItemId,TipodoNormativoOWSCHCS,NumeroOWSNMBR,RevogadoOWSBOOL,HitHighlightedSummary,CanceladoOWSBOOL,data,RefinableString03,RowNumber
Comunicado N° 42.078,3/9/2024 11:06,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132440,Comunicado,42078,0,"Instituição Cooperativa de Economia e Crédito Mútuo dos Empresários de Americana, Limeira  Instituição Cooperativa Central de Crédito da Bahia Ltda. - Sicoob Central BA (CNPJ  ",0,2024-09-03T14:06:26Z,3/9/2024 11:06,10
Comunicado N° 42.073,2/9/2024 12:02,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132435,Comunicado,42073,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Sicoob Credinova - Cooperativa de Crédito de Livre Admissão de Nova Serrana e  ,0,2024-09-02T15:02:02Z,2/9/2024 12:02,11
Instrução Normativa BCB N° 511,30/8/2024 11:19,"No âmbito do Pix, estabelece os procedimentos necessários para pleitear: a adesão ao Pix; a alteração na modalidade de participação no Pix; a alteração na forma de acesso ao Diretório de Identificadores de Contas Transacionais (DICT) e de participação no Sistema de Pagamentos Instantâneos (SPI); a alteração de participante responsável, liquidante ou prestador de serviços no DICT; a oferta de produtos e serviços adicionais ou facultativos; e a atualização cadastral das demais informações pertinentes.
",DECEM,52379,Instrução Normativa BCB,511,0,"No âmbito do Pix, estabelece os procedimentos necessários para pleitear: a adesão ao Pix; a alteração na modalidade de participação no Pix; a alteração na forma de acesso ao  ",0,2024-08-30T14:19:00Z,30/8/2024 11:19,12
Comunicado N° 42.056,30/8/2024 08:25,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132418,Comunicado,42056,0,Instituição Cooperativa de Crédito Cogem (CNPJ 44.401.800  Instituição Cooperativa de Crédito Credinorte Ltda. - Sicoob Credinorte (CNPJ 64.276.058  Nome Lia Machado de Matos (CPF  ,0,2024-08-30T11:25:17Z,30/8/2024 08:25,13
Comunicado N° 42.050,29/8/2024 10:48,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132412,Comunicado,42050,0,Instituição Servicoop - Cooperativa de Crédito dos Servidores Públicos Estaduais e  Instituição Cooperativa de Crédito Sicoob Norte Sul Ltda. (CNPJ 02.876.918  ,0,2024-08-29T13:48:49Z,29/8/2024 10:48,14
Comunicado N° 42.042,28/8/2024 09:22,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132404,Comunicado,42042,0,"Instituição Sicoob Crediconsumo - Cooperativa de Crédito (CNPJ 47.074.323  Instituição Stone Sociedade de Crédito, Financiamento e Investimento S.A. (CNPJ 53.505.601  ",0,2024-08-28T12:22:44Z,28/8/2024 09:22,15
Comunicado N° 42.038,27/8/2024 12:18,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132400,Comunicado,42038,0,"Instituição Cooperativa de Crédito Mútuo dos Empregados do Magazine Luiza, Empresas  Instituição Cooperativa de Crédito de Livre Admissão de Roraima Ltda. (CNPJ 02.137.018  ",0,2024-08-27T15:18:08Z,27/8/2024 12:18,16
Comunicado N° 42.033,26/8/2024 09:41,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132395,Comunicado,42033,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito de Livre Admissão de Pernambuco - Sicoob Pernambuco  ,0,2024-08-26T12:41:56Z,26/8/2024 09:41,17
Comunicado N° 42.028,23/8/2024 10:42,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132390,Comunicado,42028,0,Instituição Cooperativa de Crédito Mútuo dos Empregados do Centro Universitário Newton  Instituição Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos Municipais de  ,0,2024-08-23T13:42:32Z,23/8/2024 10:42,18
Resolução CMN N° 5.165,22/8/2024 18:03,Ajusta normas na Seção 9 (Contratos de Opção de Compra e Venda como Instrumento de Política Agrícola) do Capítulo 4 (Finalidades e Instrumentos Especiais de Política Agrícola) do Manual de Crédito Rural – MCR. ,MF,52365,Resolução CMN,5165,0,"Especiais de
Política Agrícola) do Manual de Crédito Rural – MCR passa a vigorar com as  a) adquirentes
produtores rurais e suas cooperativas de produção;b) prêmio
valor que o  ",0,2024-08-22T21:03:00Z,22/8/2024 18:03,19
Comunicado N° 42.022,22/8/2024 08:44,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132384,Comunicado,42022,0,"Instituição Cooperativa de Crédito, Poupança e Investimento de Campo Grande e Região  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Conexão - Cresol  ",0,2024-08-22T11:44:32Z,22/8/2024 08:44,20
Comunicado N° 42.017,21/8/2024 10:11,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132379,Comunicado,42017,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Profissionais da Saúde da Região  Instituição Cooperativa de Crédito de Livre Admissão de Associados - Sicoob Credicaru SC  ,0,2024-08-21T13:11:26Z,21/8/2024 10:11,21
Comunicado N° 42.012,20/8/2024 10:02,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132374,Comunicado,42012,0,Instituição Cooperativa de Crédito Unicred Desbravadora Ltda. - Unicred Desbravadora (CNPJ  Instituição Cooperativa de Crédito dos Servidores Públicos no Estado da Bahia Ltda  ,0,2024-08-20T13:02:09Z,20/8/2024 10:02,22
Comunicado N° 42.007,19/8/2024 09:46,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132368,Comunicado,42007,0,Instituição Cooperativa de Crédito de Livre Admissão do Vale do Araguaia Ltda. (CNPJ  Instituição Cooperativa de Crédito e Economia com Interação Solidária - Cresol Noroeste  ,0,2024-08-19T12:46:34Z,19/8/2024 09:46,23
Comunicado N° 41.999,16/8/2024 08:31,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132360,Comunicado,41999,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Empregados da Mondelez Brasil  Instituição Cooperativa de Crédito dos Servidores Públicos no Estado da Bahia Ltda  ,0,2024-08-16T11:31:42Z,16/8/2024 08:31,24
Comunicado N° 41.994,15/8/2024 10:25,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132355,Comunicado,41994,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Colaboradores da Vale S.A. Ltda  Instituição Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos Municipais de  ,0,2024-08-15T13:25:50Z,15/8/2024 10:25,25
Comunicado N° 41.988,14/8/2024 11:29,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132347,Comunicado,41988,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito Credialp Ltda. - Sicoob Credialp (CNPJ 25.353.939  ,0,2024-08-14T14:29:30Z,14/8/2024 11:29,26
Comunicado N° 41.981,13/8/2024 14:35,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132340,Comunicado,41981,0,"Instituição Cooperativa de Crédito de Livre Admissão de Pitangui, Papagaios, Maravilhas e  Instituição Cooperativa de Crédito de Livre Admissão do Vale do Araguaia Ltda. (CNPJ  ",0,2024-08-13T17:35:19Z,13/8/2024 14:35,27
Comunicado N° 41.973,12/8/2024 11:26,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132332,Comunicado,41973,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Empregados da Eaton (CNPJ  Instituição BNK Digital Sociedade de Crédito Direto S.A. (CNPJ 45.331.622  ,0,2024-08-12T14:26:52Z,12/8/2024 11:26,28
Comunicado N° 41.969,9/8/2024 10:35,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132328,Comunicado,41969,0,"Instituição Cooperativa de Crédito Potiguar - Sicoob Potiguar (CNPJ 02.382.755  Instituição Financeira Alfa S.A. - Crédito, Financiamento e Investimentos (CNPJ 17.167.412  ",0,2024-08-09T13:35:32Z,9/8/2024 10:35,29
Comunicado N° 41.964,8/8/2024 09:23,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132323,Comunicado,41964,0,Instituição Central das Cooperativas de Crédito do Estado de São Paulo - Sicoob Central  Instituição Cooperativa de Crédito de Livre Admissão Sicoob União Sudeste (CNPJ 07.946.216  ,0,2024-08-08T12:23:56Z,8/8/2024 09:23,30
Comunicado N° 41.959,7/8/2024 11:56,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132318,Comunicado,41959,0,Instituição Cooperativa de Crédito Credibam Ltda. - Sicoob Credibam (CNPJ 66.259.110  Instituição Servicoop - Cooperativa de Crédito dos Servidores Públicos Estaduais e  ,0,2024-08-07T14:56:14Z,7/8/2024 11:56,31
Instrução Normativa BCB N° 503,7/8/2024 10:14,"Altera a Instrução Normativa BCB nº 179, de 25 de outubro de 2021, que consolida e atualiza os procedimentos para a remessa do Balancete Combinado do Sistema Cooperativo, de que trata a Circular nº 3.669, de 2 de outubro de 2013.
",DESIG,52358,Instrução Normativa BCB,503,0,"Combinado
do Sistema Cooperativo confederações de crédito e 4433 - Balancete Combinado
do Sistema Cooperativo cooperativas centrais de crédito, criados com base na
Resolução CMN  ",0,2024-08-07T13:14:00Z,7/8/2024 10:14,32
Comunicado N° 41.954,6/8/2024 09:44,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132313,Comunicado,41954,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos de Pinhão  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Progresso  ,0,2024-08-06T12:44:21Z,6/8/2024 09:44,33
Comunicado N° 41.949,5/8/2024 16:43,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132308,Comunicado,41949,0,Instituição Cooperativa de Crédito Credisudeste Ltda. - Sicoob Credisudeste (CNPJ  Instituição Cooperativa de Crédito de Livre Admissão Sul Maranhense - Sicoob Sul  ,0,2024-08-05T19:43:10Z,5/8/2024 16:43,34
Comunicado N° 41.943,2/8/2024 12:25,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132302,Comunicado,41943,0,Instituição Cooperativa de Crédito e Serviços Financeiros de Curitiba e Região  Instituição Cooperativa de Crédito da Serra Catarinense - Credicomin (CNPJ 09.590.601  ,0,2024-08-02T15:25:50Z,2/8/2024 12:25,35
Comunicado N° 41.935,1/8/2024 10:08,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132294,Comunicado,41935,0,Instituição Cooperativa de Crédito Sicoob 3 Colinas Ltda. (CNPJ 04.013.172  Instituição Cooperativa de Crédito Coopcred (CNPJ 53.623.781  ,0,2024-08-01T13:08:26Z,1/8/2024 10:08,36
Comunicado N° 41.927,31/7/2024 09:14,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132286,Comunicado,41927,0,Instituição Cooperativa de Crédito e Serviços Financeiros de Curitiba e Região  Instituição Cooperativa de Crédito e Investimentos de Rondônia - Sicoob Credjurd (CNPJ  ,0,2024-07-31T12:14:07Z,31/7/2024 09:14,37
Comunicado N° 41.921,30/7/2024 09:21,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132280,Comunicado,41921,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades  Instituição Sicoob Cocred Cooperativa de Crédito (CNPJ 71.328.769  ,0,2024-07-30T12:21:32Z,30/7/2024 09:21,38
Comunicado N° 41.917,29/7/2024 09:46,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132276,Comunicado,41917,0,Instituição Cooperativa de Crédito e Investimento com Interação Solidária Nascente  Instituição Cooperativa de Crédito de Livre Admissão do Circuito das Águas - Sicoob  ,0,2024-07-29T12:46:54Z,29/7/2024 09:46,39
Instrução Normativa BCB N° 500,26/7/2024 20:24,"Altera a Instrução Normativa BCB nº 433, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Compensação Passiva do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52351,Instrução Normativa BCB,500,0,"Altera a Instrução Normativa BCB nº 433  exterior, pela abertura
  de cartas de crédito de importação, em contrapartida ao título 3.0.1.10.00.00-3
  CRÉDITOS ABERTOS PARA IMPORTAÇÃO  ",0,2024-07-26T23:24:00Z,26/7/2024 20:24,40
Instrução Normativa BCB N° 499,26/7/2024 20:18,"Altera a Instrução Normativa BCB nº 432, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Resultado Devedor do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52350,Instrução Normativa BCB,499,0,"de recursos
  com base em títulos de crédito, valores mobiliários e/ou demais ativos  captação de recursos de Letras de Crédito do Agronegócio que constituam custo
  efetivo da  ",0,2024-07-26T23:18:00Z,26/7/2024 20:18,41
Instrução Normativa BCB N° 498,26/7/2024 20:13,"Altera a Instrução Normativa BCB nº 431, de 1º de dezembro de 2023, de define as rubricas contábeis do grupo Resultado Credor do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52349,Instrução Normativa BCB,498,0,"a fim de identificar as rendas sobre cada um dos fundos,
  programas ou linhas de crédito  de financiamentos rurais concedidos com
  recursos de Letra de Crédito do Agronegócio (LCA  ",0,2024-07-26T23:13:00Z,26/7/2024 20:13,42
Instrução Normativa BCB N° 497,26/7/2024 20:09,"Altera a Instrução Normativa BCB nº 430, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Patrimônio Líquido do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52348,Instrução Normativa BCB,497,0,"Altera a Instrução Normativa BCB nº 430, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Patrimônio Líquido do elenco de contas do Padrão Contábil das  ",0,2024-07-26T23:09:00Z,26/7/2024 20:09,43
Instrução Normativa BCB N° 496,26/7/2024 20:06,"Altera a Instrução Normativa BCB nº 429, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Passivo Exigível do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52347,Instrução Normativa BCB,496,0,"Altera a Instrução Normativa BCB nº 429, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Passivo Exigível do elenco de contas do Padrão Contábil das  ",0,2024-07-26T23:06:00Z,26/7/2024 20:06,44
Instrução Normativa BCB N° 495,26/7/2024 19:53,"Altera a Instrução Normativa BCB nº 428, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Compensação Ativa do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52346,Instrução Normativa BCB,495,0,"Altera a Instrução Normativa BCB nº 428, de 1º de dezembro de 2023, que define as rubricas  00-6
INSTRUMENTOS FINANCEIROS RISCO DE CRÉDITO, segregado nas rubricas definidas no
Anexo  ",0,2024-07-26T22:53:00Z,26/7/2024 19:53,45
Instrução Normativa BCB N° 493,26/7/2024 19:37,"Altera a Instrução Normativa BCB nº 426, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Ativo Realizável do elenco de contas do Padrão Contábil das Instituições Reguladas pelo Banco Central do Brasil (Cosif) para utilização pelas instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central do Brasil.
",DENOR,52344,Instrução Normativa BCB,493,0,"Altera a Instrução Normativa BCB nº 426, de 1º de dezembro de 2023, que define as rubricas contábeis do grupo Ativo Realizável do elenco de contas do Padrão Contábil das  ",0,2024-07-26T22:37:00Z,26/7/2024 19:37,46
Comunicado N° 41.912,26/7/2024 11:58,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132271,Comunicado,41912,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Trabalhadores do Grupo Empresarial  Instituição Cooperativa de Crédito da Região e Colar Metropolitano do Vale do Aço Ltda  ,0,2024-07-26T14:58:29Z,26/7/2024 11:58,47
Comunicado N° 41.908,25/7/2024 11:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132267,Comunicado,41908,0,Instituição Cooperativa de Crédito Aracredi Ltda. - Sicoob Aracredi (CNPJ 00.068.987  Instituição Cooperativa de Crédito de Livre Admissão de Associados Oeste Catarinense (CNPJ  ,0,2024-07-25T14:24:33Z,25/7/2024 11:24,48
Comunicado N° 41.904,24/7/2024 12:38,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132263,Comunicado,41904,0,Instituição Cooperativa de Crédito União do Centro Oeste de Minas Ltda. - Sicoob Centro  Instituição Cooperativa de Crédito Credicitrus (CNPJ 54.037.916  ,0,2024-07-24T15:38:08Z,24/7/2024 12:38,49
Comunicado N° 41.898,23/7/2024 10:26,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,132257,Comunicado,41898,0,Instituição Cooperativa de Crédito Coopacredi Ltda. - Sicoob Coopacredi (CNPJ 65.229.254  Instituição Cooperativa de Crédito de Livre Admissão do Estado do Pará - Sicoob Cooesa  ,0,2024-07-23T13:26:12Z,23/7/2024 10:26,50
Comunicado N° 41.894,22/7/2024 17:37,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132253,Comunicado,41894,0,"Instituição Cooperativa de Crédito, Poupança e Investimento Univales - Sicredi Univales MT  Instituição Cooperativa de Crédito do Vale Europeu - Sicoob Euro Vale (CNPJ 82.133.182  ",0,2024-07-22T20:37:20Z,22/7/2024 17:37,51
Instrução Normativa BCB N° 490,22/7/2024 10:26,"Altera a Instrução Normativa BCB nº 299, de 30 de agosto de 2022, que divulga procedimentos, documentos, prazos e informações necessários à instrução dos pedidos de autorização relacionados ao funcionamento das instituições de que trata a Resolução CMN nº 4.970, de 25 de novembro de 2021.",DEORF,52337,Instrução Normativa BCB,490,0,"Resolução CMN nº 4.072/2012, art  sociedade de empréstimo
entre pessoas, cooperativa de crédito clássica ou plena filiada a cooperativa central
de crédito, cooperativa de crédito de  ",0,2024-07-22T13:26:00Z,22/7/2024 10:26,52
Comunicado N° 41.886,19/7/2024 08:28,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132245,Comunicado,41886,0,Instituição Cooperativa de Crédito de Livre Admissão de Pedro Leopoldo Ltda. - Sicoob  Instituição Cooperativa de Crédito Sicoob Norte Sul Ltda. (CNPJ 02.876.918  ,0,2024-07-19T11:28:13Z,19/7/2024 08:28,53
Comunicado N° 41.882,18/7/2024 11:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,132241,Comunicado,41882,0,Instituição Cooperativa de Poupança e Crédito do Vale do Rio Doce Ltda. - Sicoob  Instituição Cooperativa de Crédito e Investimento com Interação Solidária União - Cresol  ,0,2024-07-18T14:24:54Z,18/7/2024 11:24,54
